title,authors,average_rating,isbn,isbn13,publication_date,publisher
Crimes Against Nature: How George W. Bush and His Corporate Pals Are Plundering the Country and Hijacking Our Democracy,Robert F. Kennedy Jr.,4.08,0060746874,9780060746872,8/3/2004,Harper
Only the River Runs Free (The Galway Chronicles  #1),Bodie Thoene/Brock Thoene,4.09,0785263780,9780785263784,1/14/1997,Thomas Nelson
The Drama of the Gifted Child: The Search for the True Self,Alice   Miller,4.09,046501691X,9780465016914,6/1/1983,Basic Books
Slim to None: A Journey Through the Wasteland of Anorexia Treatment,Jennifer Hendricks/Gordon Hendricks,3.63,0071433716,9780071433716,2/4/2004,McGraw-Hill Education
Waiting for My Cats to Die: A Memoir,Stacy Horn,3.67,0312287445,9780312287443,1/17/2002,St. Martin's Griffin
The Drowned and the Saved,Primo Levi,4.4,0349100470,9780349100470,2/1/1989,Abacus
A Devilish Dilemma,Judith A. Lansdowne,4.02,0821758268,9780821758267,1/1/1998,Zebra
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter  Witch,Terry Pratchett/Neil Gaiman,4.25,0060853972,9780060853976,8/7/2007,William Morrow / Harper
Narrative of the Life of Frederick Douglass: An American Slave,Frederick Douglass/Gregory Stephens/Peter J. Gomes,4.02,0451529944,9780451529947,6/7/2005,Signet Book
Eye Contact (Mark Manning Mystery  #2),Michael Craft,3.78,1575664259,9781575664255,6/1/1999,Kensington
A Is for Abductive : The Language of the Emerging Church,Leonard Sweet/Brian D. McLaren,3.14,0310243564,9780310243564,12/24/2002,Zondervan
We Were Soldiers Once ... and Young (Ia Drang - the Battle That Changed the War in Vietnam),Harold G. Moore/Joseph L. Galloway,4.31,0060506989,9780060506988,2/5/2002,HarperTorch
Hikaru no Go  Vol. 1: Descent of the Go Master (Hikaru no Go  #1),Yumi Hotta/Takeshi Obata,4.1,159116222X,9781591162223,5/19/2004,VIZ Media LLC
A Short History of Nearly Everything (Illustrated Edition),Bill Bryson,4.21,0385663552,9780385663557,10/5/2010,Anchor Canada
The Tiny One,Eliza Minot,3.68,037570633X,9780375706332,10/17/2000,Vintage
Collected Short Stories,Graham Greene,3.98,0140186123,9780140186123,4/1/1993,Penguin Books
The Jester,James Patterson/Andrew Gross,3.8,0755300203,9780755300204,3/1/2004,Headline
Darkness Visible: A Memoir of Madness,William Styron,4.04,0679643524,9780679643524,1/23/2007,Modern Library
Iceberg (Dirk Pitt  #3),Clive Cussler,3.85,0425197387,9780425197387,3/2/2004,Berkley Books
Go Jump in the Pool! (Macdonald Hall  #2),Gordon Korman,4.16,0590442090,9780590442091,1/1/1991,Scholastic
Knowledge Is Power (The Amazing Days of Abby Hayes: #15),Anne Mazer,3.97,1417629762,9781417629763,7/1/2004,Turtleback Books
Darkest Hour (The Mediator  #4),Meg Cabot,4.17,0060725141,9780060725143,12/28/2004,HarperCollins
Reptiles and Amphibians (Smithsonian Handbooks),Mark O'Shea/Tim Halliday/Jonathan Metcalf,4.0,0789493934,9780789493934,10/1/2002,DK Publishing (Dorling Kindersley)
The Red Notebook: True Stories,Paul Auster,3.77,0811214982,9780811214988,6/17/2002,New Directions
No One Left to Lie to: The Values of the Worst Family,Christopher Hitchens,3.86,1859842844,9781859842843,7/17/2000,Verso
Star Wars: Clone Wars  Volume 1: The Defense of Kamino and Other Tales,John Ostrander/W. Haden Blackman,3.85,1569719624,9781569719626,9/15/2003,Dark Horse Books
Confederates in the Attic: Dispatches from the Unfinished Civil War,Tony Horwitz,4.09,067975833X,9780679758334,2/22/1999,Vintage
The Scions of Shannara (Heritage of Shannara  #1),Terry Brooks,3.99,1857230752,9781857230758,10/5/2006,Orbit
Clave Red Rabbit (Jack Ryan  #2),Tom Clancy/Enric Tremps,3.67,8408065068,9788408065067,2/1/2006,Planeta Publishing
Girlfriend in a Coma,Douglas Coupland,3.62,0060987324,9780060987329,3/1/1999,ReganBooks
Teaching to Transgress: Education as the Practice of Freedom,bell hooks,4.37,0415908086,9780415908085,9/14/1994,Routledge
Vanity Fair,William Makepeace Thackeray/Nicholas Dames,3.79,1593080719,9781593080716,11/1/2003,Barnes  Noble Classics
Awake in the Dark: The Best of Roger Ebert,Roger Ebert/David Bordwell,4.2,0226182002,9780226182001,9/15/2006,University of Chicago Press
The Little Princesses,Marion Crawford/Jennie Bond,4.03,0312312156,9780312312152,4/10/2003,St. Martin's Press
Islands in the Stream,Ernest Hemingway,3.88,0743253426,9780743253420,7/22/2003,Scribner
A Patchwork Planet,Anne Tyler,3.79,080411918X,9780804119184,5/1/2001,Ballantine Books
J.K.Rowling,Colleen Sexton,3.84,0822533898,9780822533894,9/1/2005,Lerner Publications
Howl's Moving Castle (Howl's Moving Castle  #1),Diana Wynne Jones,4.29,006441034X,9780064410342,8/1/2001,Harper Trophy
Love Overboard,Janet Evanovich,3.65,0060598840,9780060598846,2/1/2005,HarperTorch
Self-Help,Lorrie Moore,4.2,0571145345,9780571145348,1/10/1998,Faber & Faber
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,4.03,0671015206,9780671015206,10/1/1998,Gallery Books
Meridon (The Wideacre Trilogy  #3),Philippa Gregory,3.68,0743249313,9780743249317,7/2/2003,Washington Square Press
Butterfly Suits (Disney's Little Einsteins),Marcy Kelman/Nadeem Zaidi/Andy Mastrocinque,3.68,078685538X,9780786855384,9/1/2006,Disney Press
On Beauty,Zadie Smith,3.73,0143037749,9780143037743,8/29/2006,Penguin Books
Lonesome Dove,Larry McMurtry,4.49,068487122X,9780684871226,11/10/2000,Simon & Schuster
Binary,John Lange,3.53,0394479874,9780394479873,12/31/1972,Alfred A. Knopf
Another Bullshit Night in Suck City,Nick Flynn,3.78,0393329402,9780393329407,9/12/2005,W. W. Norton & Company
How Europe Underdeveloped Africa,Walter Rodney/Vincent Harding,4.27,0882580965,9780882580968,1/1/1981,Howard University Press
Masculinity and Male Codes of Honor in Modern France,Robert A. Nye,4.36,0520215109,9780520215108,11/30/1998,University of California Press
Practice Makes Perfect: Italian Verb Tenses,Paola Nanni-Tate,4.0,0071451382,9780071451383,11/23/2005,McGraw-Hill Companies
The Turn of the Screw and Other Short Fiction,Henry James/R.W.B. Lewis,3.8,0553210599,9780553210590,11/1/2008,Bantam Classic
A Mulligan for Bobby Jobe: A Novel,Bob Cullen,3.32,0060933526,9780060933524,5/7/2002,Harper Perennial
The Responsibility of Forms: Critical Essays on Music  Art  and Representation,Roland Barthes/Richard Howard,3.95,0520072383,9780520072381,2/7/1991,University of California Press
Gideon's Trumpet: How One Man  a Poor Prisoner  Took His Case to the Supreme Court-And Changed the Law of the United States,Anthony  Lewis,3.91,0679723129,9780679723127,4/23/1989,Vintage
Andreas Gursky,Andreas Gursky/Peter Galassi,4.22,0870700162,9780870700163,7/2/2002,Museum of Modern Art
The Parrot-Head Companion: An Insider's Guide to Jimmy Buffett,Thomas Ryan,2.83,0806520159,9780806520155,1/1/1998,Citadel Press
The Bush Dyslexicon: Observations on a National Disorder,Mark Crispin Miller,3.56,0393322963,9780393322965,6/17/2002,W. W. Norton  Company
The Tolkien Reader,J.R.R. Tolkien/Peter S. Beagle,3.99,0345345061,9780345345066,11/12/1986,Del Rey
Encyclopedia Brown and the Case of the Treasure Hunt (Encyclopedia Brown  #17),Donald J. Sobol/Gail Owens,4.03,0553156500,9780553156508,1/1/1989,Yearling
The Innocent Man: Murder and Injustice in a Small Town,John Grisham,3.82,0385517238,9780385517232,10/10/2006,Doubleday Books
The Restless Sleep: Inside New York City's Cold Case Squad,Stacy Horn,3.49,0143037293,9780143037293,7/25/2006,Penguin Books
The Theban Plays: Oedipus Rex  Oedipus at Colonus & Antigone,Sophocles/George      Young,3.97,048645049X,9780486450490,6/23/2006,Dover Publications
CliffsNotes on Euripides' Medea and Electra,Robert J. Milch,4.2,0822004240,9780822004240,9/13/1965,Cliffs Notes
Stars in Their Courses: The Gettysburg Campaign  June-July 1863,Shelby Foote,4.44,0679601120,9780679601128,6/28/1994,Modern Library (NY)
The Bald Soprano and Other Plays,Eugène Ionesco/Donald M. Allen,4.04,0802130798,9780802130792,1/12/1994,Grove Press
Jerusalem Inn (Richard Jury  #5),Martha Grimes,3.96,0451411617,9780451411617,11/2/2004,Onyx
New Threads in the Pattern: The Great Hunt  Part 2 (Wheel of Time  #2-2),Robert Jordan/Charles Keegan,4.27,0765348446,9780765348449,1/5/2004,Starscape
Blue Shoes and Happiness (No. 1 Ladies' Detective Agency  #7),Alexander McCall Smith,4.06,0375422722,9780375422720,4/18/2006,Pantheon
Double Image,David Morrell,3.55,2253172286,9782253172284,4/10/2002,Le Livre de Poche
Outlander (Outlander  #1),Diana Gabaldon,4.23,0440242940,9780440242949,7/26/2005,Dell Publishing Company
The Hand of Dinotopia,Alan Dean Foster/James Gurney,3.96,0060518510,9780060518516,12/1/2002,Avon Books
Agricola / Germania / Dialogue on Oratory,Tacitus/Maurice Hutton/Robert Maxwell Ogilvie/E.H. Warmington/William Peterson/Michael Winterbottom,3.95,0674990390,9780674990395,1/1/1914,Harvard University Press
Ruby for Rails: Ruby Techniques for Rails Developers,David A. Black/David Heinemeier Hansson,3.77,1932394699,9781932394696,5/11/2006,Manning Publications
The Golden Notebook,Doris Lessing,3.76,006093140X,9780060931407,2/3/1999,Harper Perennial Modern Classics
Summertime in the Big Woods,Laura Ingalls Wilder/Renée Graef,4.18,0064434974,9780064434973,2/2/2000,HarperCollins
